Dataset,Target,Condition,Run,Model,RMSE,PICP80_%,n_windows
anomaly_free,Accelerometer1RMS,CBM 400,3,TiRex,0.0018853829789385297,80.75342465753424,73
anomaly_free,Accelerometer1RMS,CBM 400,4,Chronos-2,0.0018588508944646408,76.27853881278538,73
anomaly_free,Accelerometer1RMS,CBM 400,4,TimesFM-2.5,0.0019219032918324655,83.31050228310502,73
anomaly_free,Accelerometer1RMS,CBM 400,4,TiRex,0.0018616487196350627,80.84474885844749,73
anomaly_free,Accelerometer1RMS,CBM 400,5,Chronos-2,0.0017769389264613179,78.51598173515981,73
anomaly_free,Accelerometer1RMS,CBM 400,5,TimesFM-2.5,0.001842373741058641,83.67579908675799,73
anomaly_free,Accelerometer1RMS,CBM 400,5,TiRex,0.0019179636629297855,81.32420091324201,73
anomaly_free,Accelerometer1RMS,CBM 400,6,Chronos-2,0.0019168573822749473,77.28310502283105,73
anomaly_free,Accelerometer1RMS,CBM 400,6,TimesFM-2.5,0.0020166362094435944,79.04109589041096,73
anomaly_free,Accelerometer1RMS,CBM 400,6,TiRex,0.001916547339962957,80.73059360730593,73
anomaly_free,Accelerometer1RMS,CBM 400,7,Chronos-2,0.0018562244958837506,75.91324200913242,73
anomaly_free,Accelerometer1RMS,CBM 400,7,TimesFM-2.5,0.0019917445478724156,82.28310502283105,73
anomaly_free,Accelerometer1RMS,CBM 400,7,TiRex,0.0019183173978637343,80.38812785388127,73
anomaly_free,Accelerometer1RMS,CBM 400,8,Chronos-2,0.0017949380706714843,76.3013698630137,73
anomaly_free,Accelerometer1RMS,CBM 400,8,TimesFM-2.5,0.0019280890691771274,82.30593607305936,73
anomaly_free,Accelerometer1RMS,CBM 400,8,TiRex,0.0019427683225769347,80.75342465753424,73
anomaly_free,Accelerometer1RMS,CBM 400,9,Chronos-2,0.001896852237297431,75.31963470319634,73
anomaly_free,Accelerometer1RMS,CBM 400,9,TimesFM-2.5,0.0019096891511267194,82.21461187214612,73
